Strategy Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
S&P500,-0.075931266,-0.099246109,-0.471166265,-0.271317073,-0.156996914,-0.186054505,-0.096869816,-0.055505848,-0.072734972,-0.119102527,-0.091875366,-0.02610073,-0.193489171,-0.066183957,-0.337172713,-0.051141534,-0.24496388,-0.099743179
Buy-Hold Growth,-0.089521824,-0.090008386,-0.480234204,-0.22994281,-0.163171909,-0.165174804,-0.083143618,-0.058498525,-0.073896685,-0.117903959,-0.094701308,-0.02429905,-0.206083737,-0.063598932,-0.312653406,-0.086964129,-0.322514988,-0.090687526
Buy-Hold Value,-0.073645229,-0.119742204,-0.470088694,-0.30609887,-0.144866347,-0.21919252,-0.112188616,-0.051486689,-0.073912596,-0.13593934,-0.085912704,-0.044358304,-0.19174994,-0.077020434,-0.368872953,-0.057775668,-0.178935564,-0.109080098
5yr,-0.063850039,-0.082420036,-0.292243742,-0.228912662,-0.142947521,-0.161243257,-0.067122743,-0.056256696,-0.084666078,-0.111885366,-0.08974998,-0.01887123,-0.192951404,-0.074990166,-0.318830346,-0.057735868,-0.250954045,-0.10471733
3yr,-0.067866099,-0.083924021,-0.298128974,-0.22276912,-0.15923446,-0.15618753,-0.072143015,-0.058499317,-0.084665517,-0.117978211,-0.094701393,-0.020574964,-0.224165004,-0.069927664,-0.310542144,-0.055271147,-0.429089622,-0.10496191
1yr,-0.075900878,-0.097800903,-0.322426733,-0.192178694,-0.167452091,-0.161909881,-0.072249843,-0.05369267,-0.0738966,-0.117904032,-0.094701291,-0.022975322,-0.209898981,-0.063598737,-0.312653379,-0.082161296,-0.360366896,-0.096000508
Inertia,-0.080247962,-0.110763701,-0.536418243,-0.254106713,-0.165156905,-0.226960659,-0.146954012,-0.070574759,-0.082206569,-0.124788148,-0.073449557,-0.037234929,-0.194787954,-0.073294958,-0.322537806,-0.057171917,-0.311499956,-0.10629994
Anti-Inertia,-0.076919465,-0.101131756,-0.417985971,-0.283619301,-0.142833106,-0.16774182,-0.063122667,-0.043405265,-0.074207788,-0.131815314,-0.10812039,-0.033074173,-0.194551376,-0.072660209,-0.359664599,-0.079352275,-0.194590482,-0.097521729
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Strategy Name,S&P500,Buy-Hold Growth,Buy-Hold Value,5yr,3yr,1yr,Inertia,Anti-Inertia,,,,,,,,,,
2006,-0.075931266,-0.089521824,-0.073645229,-0.063850039,-0.067866099,-0.075900878,-0.080247962,-0.076919465,,,,,,,,,,
2007,-0.099246109,-0.090008386,-0.119742204,-0.082420036,-0.083924021,-0.097800903,-0.110763701,-0.101131756,,,,,,,,,,
2008,-0.471166265,-0.480234204,-0.470088694,-0.292243742,-0.298128974,-0.322426733,-0.536418243,-0.417985971,,,,,,,,,,
2009,-0.271317073,-0.22994281,-0.30609887,-0.228912662,-0.22276912,-0.192178694,-0.254106713,-0.283619301,,,,,,,,,,
2010,-0.156996914,-0.163171909,-0.144866347,-0.142947521,-0.15923446,-0.167452091,-0.165156905,-0.142833106,,,,,,,,,,
2011,-0.186054505,-0.165174804,-0.21919252,-0.161243257,-0.15618753,-0.161909881,-0.226960659,-0.16774182,,,,,,,,,,
2012,-0.096869816,-0.083143618,-0.112188616,-0.067122743,-0.072143015,-0.072249843,-0.146954012,-0.063122667,,,,,,,,,,
2013,-0.055505848,-0.058498525,-0.051486689,-0.056256696,-0.058499317,-0.05369267,-0.070574759,-0.043405265,,,,,,,,,,
2014,-0.072734972,-0.073896685,-0.073912596,-0.084666078,-0.084665517,-0.0738966,-0.082206569,-0.074207788,,,,,,,,,,
2015,-0.119102527,-0.117903959,-0.13593934,-0.111885366,-0.117978211,-0.117904032,-0.124788148,-0.131815314,,,,,,,,,,
2016,-0.091875366,-0.094701308,-0.085912704,-0.08974998,-0.094701393,-0.094701291,-0.073449557,-0.10812039,,,,,,,,,,
2017,-0.02610073,-0.02429905,-0.044358304,-0.01887123,-0.020574964,-0.022975322,-0.037234929,-0.033074173,,,,,,,,,,
2018,-0.193489171,-0.206083737,-0.19174994,-0.192951404,-0.224165004,-0.209898981,-0.194787954,-0.194551376,,,,,,,,,,
2019,-0.066183957,-0.063598932,-0.077020434,-0.074990166,-0.069927664,-0.063598737,-0.073294958,-0.072660209,,,,,,,,,,
2020,-0.337172713,-0.312653406,-0.368872953,-0.318830346,-0.310542144,-0.312653379,-0.322537806,-0.359664599,,,,,,,,,,
2021,-0.051141534,-0.086964129,-0.057775668,-0.057735868,-0.055271147,-0.082161296,-0.057171917,-0.079352275,,,,,,,,,,
2022,-0.24496388,-0.322514988,-0.178935564,-0.250954045,-0.429089622,-0.360366896,-0.311499956,-0.194590482,,,,,,,,,,
2023,-0.099743179,-0.090687526,-0.109080098,-0.10471733,-0.10496191,-0.096000508,-0.10629994,-0.097521729,,,,,,,,,,