Year,SPY,Growth,Value
2001,1.39,2.58,1.09
2002,1.67,2.09,1.55
2003,1.04,1.15,1.04
2004,0.70,0.70,0.66
2005,0.65,0.64,0.61
2006,0.63,0.68,0.62
2007,1.00,0.92,1.05
2008,2.60,2.35,2.57
2009,1.68,1.61,1.75
2010,1.13,1.19,1.12
2011,1.45,1.36,1.49
2012,0.80,0.76,0.88
2013,0.70,0.69,0.66
2014,0.71,0.77,0.65
2015,0.97,1.00,0.97
2016,0.82,0.84,0.83
2017,0.42,0.45,0.45
2018,1.07,1.23,0.95
2019,0.79,0.81,0.80
2020,2.10,2.18,2.21
2021,0.82,1.03,0.82
2022,1.53,1.93,1.21
2023,0.82,0.84,0.84
$\max$,2.60,2.58,2.57
$\min$,0.42,0.45,0.45
$M$,0.97,1.00,0.95
$\mu$ ,1.11,1.21,1.08
$\sigma$,0.53,0.61,0.52