GV-1L,MC-1L,GV-1L,MC-1L,GV-1L,MC-1L,,,,,,,,,,,,,,,
0.170114562,-0.050326427,0.333757226,0.162556288,0.509695517,-0.30959385,,,,,,,,,,,,,,,
0.341603309,0.089043329,0.291739313,0.195222861,1.1709197,0.456111177,,,,,,,,,,,,,,\cellcolor{red!25}0.5,\cellcolor{red!25}-0.3
0.514479514,0.177505754,0.17164135,0.109467218,2.997410088,1.62154257,,,,,,,,,,,,,,\cellcolor{green!25}1.2,\cellcolor{green!25}0.5
0.183546422,0.045279413,0.11171115,0.074285556,1.643044781,0.609531858,,,,,,,,,,,,,,\cellcolor{green!25}3.0,\cellcolor{green!25}1.6
0.095865581,0.108433499,0.100727225,0.07132568,0.951734558,1.520258889,,,,,,,,,,,,,,\cellcolor{red!25}1.6,\cellcolor{red!25}0.6
0.189873481,0.042857304,0.10614193,0.070018402,1.788864033,0.612086291,,,,,,,,,,,,,,\cellcolor{red!25}1.0,\cellcolor{green!25}1.5
0.125276502,0.193361387,0.158663018,0.109942514,0.789575943,1.758749914,,,,,,,,,,,,,,\cellcolor{green!25}1.8,\cellcolor{red!25}0.6
-0.26523695,0.105543253,0.39904283,0.332883115,-0.664682911,0.317057995,,,,,,,,,,,,,,\cellcolor{red!25}0.8,\cellcolor{green!25}1.8
0.344374849,0.202973508,0.268659779,0.189487999,1.281825103,1.071168143,,,,,,,,,,,,,,\cellcolor{red!25}-0.7,\cellcolor{red!25}0.3
0.22743586,0.13461544,0.180577665,0.14604756,1.259490536,0.921723307,,,,,,,,,,,,,,\cellcolor{green!25}1.3,\cellcolor{green!25}1.1
0.092455006,-0.034029522,0.222048686,0.163209103,0.416372678,-0.208502598,,,,,,,,,,,,,,\cellcolor{red!25}1.3,\cellcolor{red!25}0.9
0.362854784,0.007137366,0.130740653,0.094989737,2.775378397,0.075138286,,,,,,,,,,,,,,\cellcolor{red!25}0.4,\cellcolor{red!25}-0.2
0.402554871,0.15988527,0.107681075,0.077456679,3.738399445,2.064189584,,,,,,,,,,,,,,\cellcolor{green!25}2.8,\cellcolor{green!25}0.1
0.168817188,0.109623574,0.112662909,0.079646705,1.498427384,1.376372996,,,,,,,,,,,,,,\cellcolor{green!25}3.7,\cellcolor{green!25}2.1
0.045836926,0.002563218,0.156700271,0.125831523,0.292513381,0.020370237,,,,,,,,,,,,,,\cellcolor{red!25}1.5,\cellcolor{red!25}1.4
0.110514029,0.179386313,0.138098178,0.087698907,0.800256966,2.045479461,,,,,,,,,,,,,,\cellcolor{red!25}0.3,\cellcolor{red!25}0.0
0.212161528,0.133604885,0.071793882,0.049337651,2.955147738,2.707970126,,,,,,,,,,,,,,\cellcolor{green!25}0.8,\cellcolor{green!25}2.0
-0.0674854,-0.126407029,0.170700322,0.139938492,-0.395344304,-0.90330421,,,,,,,,,,,,,,\cellcolor{green!25}3.0,\cellcolor{green!25}2.7
0.257086224,0.092209316,0.130194728,0.090872692,1.974628527,1.014708753,,,,,,,,,,,,,,\cellcolor{red!25}-0.4,\cellcolor{red!25}-0.9
0.059935845,0.360969284,0.353185612,0.262704041,0.169700698,1.374053032,,,,,,,,,,,,,,\cellcolor{green!25}2.0,\cellcolor{green!25}1.0
0.163316603,0.1410705,0.153105391,0.094153014,1.066694007,1.498311037,,,,,,,,,,,,,,\cellcolor{red!25}0.2,\cellcolor{green!25}1.4
-0.130756681,-0.066427437,0.262987758,0.180198349,-0.497196835,-0.368635103,,,,,,,,,,,,,,\cellcolor{green!25}1.1,\cellcolor{green!25}1.5
0.222307188,0.164710161,0.13535615,0.093192971,1.642387051,1.767409701,,,,,,,,,,,,,,\cellcolor{red!25}-0.5,\cellcolor{red!25}-0.4
$\max$,0.360969284,0.39904283,0.332883115,3.738399445,2.707970126,,,,,,,,,,,,,,\cellcolor{green!25}1.6,\cellcolor{green!25}1.8
$\min$,-0.126407029,0.071793882,0.049337651,-0.664682911,-0.90330421,,,,,,,,,,,,,,\cellcolor{green!25}3.7,\cellcolor{green!25}2.7
$M$,0.108433499,0.156700271,0.109467218,1.1709197,1.014708753,,,,,,,,,,,,,,\cellcolor{red!25}-0.7,\cellcolor{red!25}-0.9
$\mu$ ,0.094503581,0.185561613,0.130455089,1.22457576,0.914878156,,,,,,,,,,,,,,\cellcolor{green!25}1.2,\cellcolor{green!25}1.0
$\sigma$,0.107682132,0.09002869,0.067948259,1.147081288,0.926635892,,,,,,,,,,,,,,\cellcolor{green!25}1.2,\cellcolor{red!25}0.9
,reutrn,,vol,sharp,,,,,,,,,,,,,,,\cellcolor{red!25}1.1,\cellcolor{green!25}0.9