Year,1-WS,1-LS,3-WS,3-LS,5-WS,5-LS,7-WS,7-LS,9-WS,9-LS
2001,59.77691916,117.0114562,79.81887634,87.63070439,76.31780572,91.65075294,83.03470798,84.23687549,73.96962772,94.56022116
2002,24.80454202,156.9829568,36.19784709,107.5724293,39.47923319,98.63135712,39.50263536,98.57292589,42.80445792,90.96927135
2003,26.32149323,237.7474721,43.00792045,145.5050236,45.66044989,137.0522737,47.29625465,132.312136,52.15872278,119.9774102
2004,26.50182041,281.3851699,44.79763242,166.4645839,49.3786737,151.0210518,50.79107838,146.8214395,55.03495846,135.4996796
2005,26.18582996,308.3603228,46.59951415,173.2780078,51.13951279,157.8949532,54.04531449,149.4055693,56.85515012,142.0218038
2006,29.16533633,366.9097707,50.27549459,212.8481669,59.22415631,180.6871981,61.64093844,173.6029193,65.48703459,163.4071069
2007,29.10823257,412.8749433,50.5457722,237.7658773,59.99807552,200.3074227,60.54851868,198.4864392,64.72407688,185.6814412
2008,15.80337333,303.3652525,25.88748019,185.1935493,30.35497687,157.9376707,32.78562888,146.2285307,33.5901366,142.7262531
2009,18.85796265,407.8366155,31.72840188,242.400096,36.71052428,209.5030734,39.87263392,192.8883775,42.62791206,180.420933
2010,20.62491367,500.593287,34.4876195,299.3739051,40.17840962,256.9711799,46.526331,221.9107569,48.71050476,211.9603026
2011,19.6136357,546.8756426,32.76599381,327.3582876,38.79641417,276.4745107,46.68622116,229.7512919,47.41450785,226.2223128
2012,19.26219223,745.312086,34.3443314,418.0120588,40.85478418,351.3993517,51.21507967,280.3147973,52.61567743,272.8529856
2013,23.9951473,1045.341097,43.3741311,578.2966245,52.39408124,478.7394494,66.35153722,378.0336471,67.2944404,372.7367886
2014,26.43683281,1221.812642,47.09883302,685.8101244,59.97150783,538.6033752,74.43905986,433.9234884,76.26374589,423.541437
2015,25.71689113,1277.816778,46.95113436,699.9080087,59.42054532,553.0322009,72.70613628,451.9766369,74.51160057,441.0249506
2016,28.9645958,1419.033459,52.0150564,790.1890995,66.29670674,619.9663995,84.34998143,487.276107,85.64739769,479.8946808
2017,35.08525525,1720.097766,63.20410111,954.8441974,81.01341901,744.9391709,102.1374237,590.8712695,103.1597028,585.015927
2018,34.19178052,1604.016281,63.47239822,864.0633438,78.73548965,696.5622858,99.80963562,549.4877554,92.01436671,596.039234
2019,46.87149892,2016.38677,86.19042345,1096.537951,107.1716088,881.8666745,127.9103113,738.8854687,121.4009103,778.5038025
2020,59.83375346,2137.240614,89.42990208,1429.937023,116.5627749,1097.083765,137.191345,932.1224159,137.5774103,929.5067242
2021,84.812906,2486.287491,120.9612356,1743.279707,175.8061129,1199.44218,209.9594986,1004.333067,209.5583435,1006.255651
2022,65.24242924,2161.188791,88.54808811,1592.368732,137.7086285,1023.909746,173.3399143,813.4376166,177.6872107,793.5360468
2023,84.80922403,2641.636593,119.2736986,1878.328184,181.5844632,1233.779287,234.0658382,957.145867,238.9155037,937.7170848
,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,19.23
irr,,,,,,,,,,