Strategy Name,S&P500,Buy-Hold Growth,Buy-Hold Value,1-WS,1-LS,3-WS,3-LS,5-WS,5-LS,7-WS,7-LS,9-WS,9-LS,S&P500,Buy-Hold Growth,Buy-Hold Value,1-WS,1-LS,3-WS,3-LS,5-WS,5-LS,7-WS,7-LS,9-WS,9-LS
,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,
2001,88.2414576,148.1987766,188.7892605,59.77691916,117.0114562,79.81887634,87.63070439,76.31780572,91.65075294,83.03470798,84.23687549,73.96962772,94.56022116,-0.117585424,0.481987766,0.887892605,-0.402230808,0.170114562,-0.201811237,-0.123692956,-0.236821943,-0.083492471,-0.16965292,-0.157631245,-0.260303723,-0.054397788
2002,69.19487512,100.5790445,154.8589119,24.80454202,156.9829568,36.19784709,107.5724293,39.47923319,98.63135712,39.50263536,98.57292589,42.80445792,90.96927135,-0.215846191,-0.321323382,-0.179726053,-0.58504817,0.341603309,-0.546500167,0.227565499,-0.482699577,0.076165268,-0.524263572,0.170187348,-0.42132387,-0.037975269
2003,88.69506861,129.0826268,193.9182253,26.32149323,237.7474721,43.00792045,145.5050236,45.66044989,137.0522737,47.29625465,132.312136,52.15872278,119.9774102,0.281815575,0.283394841,0.252225157,0.061156187,0.514479514,0.188134762,0.352623757,0.156568814,0.389540586,0.197293654,0.342276643,0.218534828,0.318878435
2004,98.18362423,135.8861288,219.5137739,26.50182041,281.3851699,44.79763242,166.4645839,49.3786737,151.0210518,50.79107838,146.8214395,55.03495846,135.4996796,0.106979517,0.052706566,0.131991454,0.006850948,0.183546422,0.041613544,0.144046988,0.081432045,0.101922994,0.073892188,0.109659657,0.055143906,0.1293766
2005,102.9241772,139.6557839,231.2735141,26.18582996,308.3603228,46.59951415,173.2780078,51.13951279,157.8949532,54.04531449,149.4055693,56.85515012,142.0218038,0.048282521,0.027741279,0.053571765,-0.011923349,0.095865581,0.0402227,0.040930171,0.03565991,0.04551618,0.064071018,0.017600494,0.033073372,0.048133872
2006,119.2327364,152.2407765,281.1611214,29.16533633,366.9097707,50.27549459,212.8481669,59.22415631,180.6871981,61.64093844,173.6029193,65.48703459,163.4071069,0.15845217,0.090114368,0.21570826,0.113783156,0.189873481,0.078884523,0.228362269,0.15808996,0.144350687,0.140541766,0.161957484,0.151822385,0.150577605
2007,125.3687507,168.6109082,285.1075295,29.10823257,412.8749433,50.5457722,237.7658773,59.99807552,200.3074227,60.54851868,198.4864392,64.72407688,185.6814412,0.051462496,0.107527905,0.014036109,-0.001957932,0.125276502,0.005375931,0.117068006,0.013067627,0.108586689,-0.017722309,0.143335838,-0.011650515,0.136311906
2008,79.2393258,105.5308409,181.7172799,15.80337333,303.3652525,25.88748019,185.1935493,30.35497687,157.9376707,32.78562888,146.2285307,33.5901366,142.7262531,-0.367949945,-0.374116171,-0.362635984,-0.457082346,-0.26523695,-0.487840841,-0.221109642,-0.494067491,-0.211523624,-0.458523023,-0.263282009,-0.481025636,-0.23133808
2009,100.1202958,144.5728666,212.7914551,18.85796265,407.8366155,31.72840188,242.400096,36.71052428,209.5030734,39.87263392,192.8883775,42.62791206,180.420933,0.263517764,0.369958444,0.171002863,0.193287171,0.344374849,0.225627278,0.3089014,0.209374148,0.326492106,0.216161937,0.319088529,0.269060396,0.264104739
2010,115.1945333,168.0564782,245.7434176,20.62491367,500.593287,34.4876195,299.3739051,40.17840962,256.9711799,46.526331,221.9107569,48.71050476,211.9603026,0.150561257,0.162434433,0.154855666,0.093697874,0.22743586,0.086963649,0.235040373,0.094465699,0.22657475,0.166873778,0.150462043,0.142690374,0.174809924
2011,117.3774396,175.8679436,243.9607675,19.6136357,546.8756426,32.76599381,327.3582876,38.79641417,276.4745107,46.68622116,229.7512919,47.41450785,226.2223128,0.018949738,0.046481192,-0.007254111,-0.049031864,0.092455006,-0.049920108,0.093476359,-0.03439647,0.075896958,0.003436552,0.035331929,-0.026606107,0.067286233
2012,136.1465128,200.8024042,285.9795376,19.26219223,745.312086,34.3443314,418.0120588,40.85478418,351.3993517,51.21507967,280.3147973,52.61567743,272.8529856,0.159903583,0.141779451,0.172235768,-0.017918323,0.362854784,0.04816999,0.276925236,0.053055677,0.271000899,0.09700632,0.220079308,0.109695741,0.206127646
2013,180.1323906,266.2714703,376.8051241,23.9951473,1045.341097,43.3741311,578.2966245,52.39408124,478.7394494,66.35153722,378.0336471,67.2944404,372.7367886,0.323077521,0.326037262,0.317594704,0.245712171,0.402554872,0.262919653,0.383444837,0.282446653,0.362380002,0.295546891,0.348603965,0.278980784,0.366071871
2014,204.3850942,305.6921495,422.6586333,26.43683281,1221.812642,47.09883302,685.8101244,59.97150783,538.6033752,74.43905986,433.9234884,76.26374589,423.541437,0.134638215,0.14804695,0.121690249,0.101757471,0.168817188,0.08587381,0.185914106,0.144623713,0.125044898,0.121889002,0.147843563,0.133284495,0.136301674
2015,206.9077727,321.2108511,409.2199855,25.71689113,1277.816778,46.95113436,699.9080087,59.42054532,553.0322009,72.70613628,451.9766369,74.51160057,441.0249506,0.012342772,0.050765784,-0.031795512,-0.027232524,0.045836927,-0.00313593,0.020556542,-0.009187071,0.026789334,-0.023279762,0.041604451,-0.022974813,0.041279346
2016,231.7323798,343.1750128,479.0760288,28.9645958,1419.033459,52.0150564,790.1890995,66.29670674,619.9663995,84.34998143,487.276107,85.64739769,479.8946808,0.119979094,0.068379264,0.170705356,0.126286831,0.11051403,0.107855159,0.128989938,0.115720268,0.121031286,0.160149414,0.07810021,0.149450516,0.088134991
2017,282.0307671,436.6447227,552.8528441,35.08525525,1720.097766,63.20410111,954.8441974,81.01341901,744.9391709,102.1374237,590.8712695,103.1597028,585.015927,0.217053773,0.27236747,0.153998136,0.211315203,0.212161528,0.215111652,0.208374297,0.221982554,0.201579911,0.210876659,0.212600538,0.204469787,0.219050659
2018,269.1448197,436.1276141,503.0103196,34.19178052,1604.016281,63.47239822,864.0633438,78.73548965,696.5622858,99.80963562,549.4877554,92.01436671,596.039234,-0.045689864,-0.001184278,-0.090155138,-0.025465818,-0.0674854,0.004244932,-0.095073996,-0.028117926,-0.064940719,-0.022790746,-0.070038122,-0.10803963,0.018842747
2019,353.182293,570.6373066,662.4948575,46.87149892,2016.38677,86.19042345,1096.537951,107.1716088,881.8666745,127.9103113,738.8854687,121.4009103,778.5038025,0.312238866,0.308418197,0.317060171,0.370841126,0.257086224,0.357919755,0.269048107,0.361160124,0.266027019,0.281542713,0.344680498,0.319369079,0.306128453
2020,417.9262247,761.5975256,671.6362575,59.83375346,2137.240614,89.42990208,1429.937023,116.5627749,1097.083765,137.191345,932.1224159,137.5774103,929.5067242,0.183315905,0.334643769,0.013798447,0.276548752,0.059935845,0.037585134,0.304046998,0.087627368,0.244047198,0.072558918,0.261524898,0.133248589,0.193965554
2021,537.9912923,1005.406258,838.9415349,84.812906,2486.287491,120.9612356,1743.279707,175.8061129,1199.44218,209.9594986,1004.333067,209.5583435,1006.255651,0.287287709,0.320128052,0.249101021,0.417475941,0.163316603,0.35258155,0.219130408,0.508252639,0.093300455,0.530413588,0.077469064,0.523203141,0.082569523
2022,440.2094261,709.716525,794.6902844,65.24242924,2161.188791,88.54808811,1592.368732,137.7086285,1023.909746,173.3399143,813.4376166,177.6872107,793.5360468,-0.181753622,-0.294099754,-0.052746525,-0.230748806,-0.130756681,-0.267963098,-0.086567276,-0.216701705,-0.146345057,-0.174412611,-0.190071857,-0.152087157,-0.211397177
2023,555.4377291,922.8007851,971.1094888,84.80922403,2641.636593,119.2736986,1878.328184,181.5844632,1233.779287,234.0658382,957.145867,238.9155037,937.7170848,0.261757918,0.300238549,0.221997435,0.299909047,0.222307188,0.346993494,0.179581178,0.318613548,0.20496879,0.350328568,0.17666782,0.344584693,0.181694377