Year,9 Day Winner Strategy,9 Day Loser Strategy,7 Day Winner Strategy,7 Day Loser Strategy,5 Day Winner Strategy,5 Day Loser Strategy,3 Day Winner Strategy,3 Day Loser Strategy,Inertia,Anti-Inertia
2006,15.1819323,15.05808453,14.05382648,16.19612346,15.80910703,14.43497703,7.888495181,22.83619751,11.37771191,18.98801184
2007,-1.165044164,13.63112211,-1.772477332,14.33381023,1.306730351,10.85864578,0.537710901,11.70661073,-0.196324157,12.52818938
2008,-48.10240793,-23.13401453,-45.85211001,-26.32843941,-49.4064125,-21.15286235,-48.78442589,-22.11041997,-45.70805249,-26.52391854
2009,26.90629923,26.41028246,21.61621306,31.908902,20.93668349,32.65008324,22.5628049,30.89012726,19.32854798,34.4377469
2010,14.26908526,17.48089814,16.68741753,15.04612109,9.446706576,22.65727482,8.696697279,23.50361237,9.369736421,22.74359623
2011,-2.66009286,6.728061047,0.343867526,3.532979221,-3.43940145,7.589427857,-4.991835473,9.347439804,-4.90252115,9.244742103
2012,10.96962935,20.61264684,9.70050989,22.00800824,5.305464747,27.10015332,4.81689206,27.69259278,-1.792112839,36.28580251
2013,27.89848208,36.60681067,29.55498391,34.86014354,28.24394835,36.23881634,26.29154768,38.34499654,24.5711853,40.25557904
2014,13.32848008,13.63016904,12.18874109,14.78455167,14.46243873,12.50445553,8.587423047,18.5913984,10.17549166,16.88202299
2015,-2.297761067,4.128183029,-2.327977204,4.160396473,-0.918963767,2.679150376,-0.313825876,2.055843833,-2.723594478,4.584010522
2016,14.94517775,8.81344111,16.01507036,7.809962019,11.57214564,12.10307247,10.78555121,12.89902151,12.62852649,11.05162003
2017,20.44705809,21.90492229,21.0876896,21.2599671,22.19828691,20.15789769,21.51088261,20.83764796,21.13103814,21.21657242
2018,-10.80399568,1.884342785,-2.279148713,-7.00371354,-2.811811885,-6.49402509,0.424684181,-9.50754435,-2.546410504,-6.748675689
2019,31.93690993,30.61285788,28.15411852,34.46822517,36.11606169,26.60267022,35.79196565,26.90483405,37.08416121,25.70859182
2020,13.3246712,19.39671319,7.255876522,26.15246553,8.762806618,24.40459826,3.758592856,30.40455632,27.65504807,5.993405428
2021,52.32032856,8.256969011,53.0414052,7.746900696,50.82549136,9.329907962,35.25779231,21.91339816,41.74786787,16.33146469
2022,-15.20878467,-21.13966269,-17.44134489,-19.0071128,-21.67019466,-14.63448923,-26.79630814,-8.656740238,-23.07485001,-13.07571265
2023,34.45847815,18.16941897,35.03291434,17.66672084,31.86146523,20.49676688,34.69927887,17.95816852,29.99093092,22.23068275
MAX,52.32032856,36.60681067,53.0414052,34.86014354,50.82549136,36.23881634,35.79196565,38.34499654,41.74786787,40.25557904
MIN,-48.10240793,-23.13401453,-45.85211001,-26.32843941,-49.4064125,-21.15286235,-48.78442589,-22.11041997,-45.70805249,-26.52391854
MED,13.79878267,14.34460332,13.12128379,14.91533638,10.50942611,13.46971628,8.237959114,19.71452318,10.77660178,16.60674384
MEAN,10.87491365,12.16951366,10.8366431,12.19977842,9.922252915,13.19591784,7.817995742,15.3117634,9.117576686,14.00742954
STD,21.78805883,14.94011574,21.02019322,16.40104628,21.83208797,15.10545828,20.78967748,15.50145125,20.88728557,16.61279197