Year,GV-1L,MC-1L,Growth,Value,S&P500,Cash,Random Flip(Growth-Value),Random Flip(spy-cash)
2001,0.182544922,0.144260818,0.108019411,0.143266173,0.132579905,0.153001032,0.125642792,0.142790469
2002,0.381173246,0.298879492,0.165166259,0.211304051,0.19953476,0.26986575,0.188235155,0.234700255
2003,0.446493165,0.280215426,0.33246555,0.317085243,0.331686502,0.192626248,0.324775396,0.262156375
2004,0.468516573,0.340278759,0.347167861,0.420700764,0.397503449,0.29828369,0.383934312,0.34789357
2005,0.467997459,0.482890475,0.387268674,0.417879431,0.411611421,0.354396516,0.402574052,0.383003969
2006,0.475033437,0.27455764,0.338999663,0.510263295,0.43218637,0.216116105,0.424631479,0.324151237
2007,0.477777687,0.556546407,0.457243346,0.349081122,0.392380846,0.332842892,0.403162234,0.362611869
2008,0.366837809,0.650553877,0.283525076,0.292309554,0.288243243,0.5697936,0.287917315,0.429018422
2009,0.391778725,0.309446475,0.40667526,0.290831054,0.344698932,0.191263254,0.348753157,0.267981093
2010,0.462846998,0.37152769,0.398896543,0.391440697,0.387215627,0.239089279,0.39516862,0.313152453
2011,0.451043915,0.328846501,0.406628415,0.354714201,0.380030049,0.361722597,0.380671308,0.370876323
2012,0.57060419,0.251477709,0.372269294,0.399593406,0.388529601,0.245074526,0.38593135,0.316802063
2013,0.528806421,0.222148115,0.432112945,0.421443396,0.428371965,0.020103252,0.42677817,0.224237609
2014,0.464080187,0.385678982,0.436570095,0.401661292,0.418810564,0.240483941,0.419115693,0.329647253
2015,0.450978475,0.39688307,0.457139354,0.353931705,0.409108247,0.393678852,0.405535529,0.401393549
2016,0.389980595,0.462506836,0.345610962,0.453365562,0.39994782,0.273603337,0.399488262,0.336775579
2017,0.414860738,0.323003338,0.485260445,0.346849354,0.420581307,0.166777235,0.4160549,0.293679271
2018,0.345058145,0.292658996,0.404019869,0.324897942,0.364440978,0.405073106,0.364458905,0.384757042
2019,0.354645517,0.173543158,0.411028874,0.420521825,0.415225709,0.072259562,0.415775349,0.243742635
2020,0.232930999,0.344792343,0.335010017,0.215786704,0.27877793,0.210659371,0.275398361,0.24471865
2021,0.243406057,0.234952857,0.302992225,0.276002947,0.29051331,0.181348079,0.289497586,0.235930695
2022,0.291156108,0.323766041,0.208353894,0.330701087,0.26530465,0.357439547,0.26952749,0.311372099
2023,0.365960097,0.30869157,0.443446978,0.365652107,0.405185819,0.144920828,0.404549543,0.275053324